tenant_id,age,profession,monthly_income,family_size,preferred_property_type,max_monthly_rent,max_annual_rent,nationality,move_in_timeline,pets
T00001,27,Finance Professional,39883,1,1BR,12907,154884,Hong Kong,Flexible,No
T00002,44,Finance Professional,25513,1,Studio,7090,85080,Swaziland,Flexible,No
T00003,44,Healthcare Worker,19364,1,Studio,5998,71976,Bahamas,Flexible,No
T00004,22,Engineer,28137,4,3BR,12217,146604,Saint Barthelemy,Within 1 month,No
T00005,22,Manager,42617,3,3BR,16564,198768,Anguilla,Within 1 month,Yes
T00006,40,Consultant,28815,3,3BR,8836,106032,New Zealand,Immediate,No
T00007,38,IT Professional,16676,4,3BR,4590,55080,Monaco,Within 1 month,No
T00008,27,IT Professional,34566,1,1BR,10986,131832,Nigeria,Within 1 month,No
T00009,45,Engineer,32870,2,1BR,12528,150336,Romania,Flexible,No
T00010,32,IT Professional,30776,1,Studio,8246,98952,Kuwait,Immediate,No
T00011,22,Finance Professional,37395,3,2BR,9394,112728,Cayman Islands,Immediate,Yes
T00012,44,Finance Professional,37889,2,2BR,15983,191796,Lao People's Democratic Republic,Within 1 month,No
T00013,34,Sales & Marketing,26328,4,2BR,9436,113232,Equatorial Guinea,Within 3 months,Yes
T00014,24,Consultant,28295,2,1BR,12522,150264,Turkmenistan,Immediate,Yes
T00015,43,Healthcare Worker,17439,3,2BR,7719,92628,Algeria,Within 1 month,No
T00016,50,Entrepreneur,73493,2,2BR,26100,313200,Reunion,Within 3 months,No
T00017,49,Hospitality,13634,1,1BR,5455,65460,Germany,Flexible,No
T00018,27,Finance Professional,48243,3,2BR,15550,186600,Benin,Immediate,No
T00019,33,IT Professional,23653,2,1BR,8127,97524,Eritrea,Immediate,No
T00020,39,Hospitality,13316,1,Studio,5252,63024,Palau,Immediate,No
T00021,32,Healthcare Worker,22684,1,1BR,6599,79188,Qatar,Immediate,No
T00022,22,IT Professional,28206,2,2BR,7959,95508,Ecuador,Flexible,No
T00023,33,Manager,50791,1,1BR,22637,271644,Brazil,Within 3 months,No
T00024,38,Hospitality,15791,1,Studio,6635,79620,United States Virgin Islands,Immediate,Yes
T00025,36,Hospitality,13970,2,2BR,5711,68532,Timor-Leste,Within 3 months,Yes
T00026,35,Hospitality,8248,2,2BR,2264,27168,Iceland,Flexible,Yes
T00027,29,Hospitality,11334,3,2BR,4703,56436,French Guiana,Immediate,No
T00028,37,Manager,43468,2,2BR,19409,232908,Bermuda,Within 3 months,No
T00029,39,Entrepreneur,34182,3,3BR,9616,115392,Somalia,Immediate,Yes
T00030,37,Consultant,25081,1,Studio,10467,125604,Bangladesh,Flexible,No
T00031,37,Entrepreneur,69563,1,1BR,26663,319956,New Caledonia,Within 1 month,No
T00032,53,Engineer,17469,1,Studio,4877,58524,Nicaragua,Within 1 month,Yes
T00033,26,IT Professional,28723,2,2BR,7935,95220,Timor-Leste,Within 1 month,Yes
T00034,46,Consultant,47807,4,2BR,14212,170544,Benin,Flexible,No
T00035,24,Sales & Marketing,19579,3,2BR,5640,67680,Reunion,Within 3 months,Yes
T00036,43,IT Professional,35717,1,1BR,13084,157008,Cook Islands,Within 3 months,Yes
T00037,33,Entrepreneur,18135,1,Studio,7213,86556,Jordan,Within 1 month,No
T00038,28,Healthcare Worker,35000,5,3BR,10175,122100,Haiti,Flexible,No
T00039,31,Hospitality,10805,2,2BR,4234,50808,Italy,Within 3 months,Yes
T00040,23,Engineer,28198,2,1BR,11148,133776,Georgia,Immediate,No
T00041,22,Sales & Marketing,35000,1,Studio,12693,152316,Saint Barthelemy,Within 3 months,No
T00042,48,Healthcare Worker,21389,5,3BR,8207,98484,Australia,Within 3 months,No
T00043,40,Hospitality,9859,2,2BR,4130,49560,Norway,Within 3 months,No
T00044,44,Finance Professional,50018,1,1BR,17947,215364,Senegal,Flexible,Yes
T00045,30,IT Professional,30826,1,1BR,13717,164604,Cayman Islands,Immediate,No
T00046,27,Sales & Marketing,30394,2,1BR,9627,115524,Qatar,Within 1 month,Yes
T00047,41,Entrepreneur,68912,2,2BR,29182,350184,Guyana,Flexible,No
T00048,38,IT Professional,27512,2,2BR,8916,106992,Uzbekistan,Within 3 months,No
T00049,47,Engineer,28268,2,1BR,8571,102852,France,Within 3 months,No
T00050,43,Consultant,28496,4,3BR,9744,116928,Turks and Caicos Islands,Within 3 months,No
T00051,43,Teacher,11539,2,1BR,3155,37860,Sweden,Within 3 months,No
T00052,27,Sales & Marketing,15441,2,1BR,6663,79956,China,Within 1 month,No
T00053,29,Hospitality,10483,3,2BR,3622,43464,Japan,Within 3 months,No
T00054,32,Finance Professional,57456,1,Studio,18450,221400,Armenia,Within 3 months,No
T00055,28,Hospitality,14153,1,Studio,6244,74928,Armenia,Within 3 months,No
