neighborhood,tier,studio_min,studio_max,1br_min,1br_max,2br_min,2br_max,3br_min,3br_max,studio_size_min,studio_size_max,1br_size_min,1br_size_max,2br_size_min,2br_size_max,3br_size_min,3br_size_max,has_metro,beach_accessible,target_tenant_type
Dubai Marina,Luxury,55000,120000,67000,150000,99000,200000,150000,400000,350,800,500,1500,1000,2500,1200,3000,Yes,Yes,High-income professionals
Jumeirah Beach Residence (JBR),Luxury,80000,240000,90000,300000,120000,650000,160000,800000,400,800,700,1800,1300,2200,1900,3000,No,Yes,High-income professionals
Downtown Dubai,Luxury,70000,120000,95000,240000,130000,340000,270000,650000,400,650,700,1100,1150,1950,1500,3200,Yes,No,Executives
Business Bay,Premium,55000,95000,78000,200000,110000,235000,165000,235000,400,491,484,1117,1327,1529,1454,2329,Yes,No,Young professionals
Dubai Internet City,Luxury,950000,1600000,950000,1600000,950000,1600000,950000,1600000,4800,5100,4800,5100,4800,5100,4800,5100,Yes,No,Tech executives
Dubai Media City,Premium,145000,210000,145000,210000,190000,230000,300000,550000,1085,1149,1085,1149,1530,1539,2256,2289,Yes,No,Media professionals
Jumeirah Lake Towers (JLT),Mid-Market,60000,85000,70000,145000,120000,200000,185000,235000,400,510,700,1339,1300,2050,2000,2350,Yes,No,Professionals
Barsha Heights (Tecom),Mid-Market,52000,75000,75000,135000,88000,175000,175000,200000,400,550,690,1182,1050,1667,2000,2161,Yes,No,Professionals
Al Barsha,Mid-Market,54000,60000,65000,140000,90000,200000,131000,240000,402,421,627,1151,1065,1600,1353,1582,Yes,No,Families
Dubai Sports City,Budget,39000,57000,60000,85000,80000,110000,125000,160000,338,421,632,850,1062,1367,1865,2000,No,No,Value-focused
Discovery Gardens,Budget,44000,55000,68000,85000,110000,110000,110000,110000,473,484,883,979,1429,1429,1429,1429,Yes,No,Singles and couples
International City,Budget,38000,50000,43000,65000,55000,80000,110000,128000,399,462,646,847,888,1105,2365,2387,No,No,Budget-conscious
Deira,Budget,45000,66000,43000,85000,70000,135000,100000,180000,355,580,510,1025,900,1500,1283,1647,Yes,No,Budget families
Bur Dubai,Mid-Market,46000,48000,80000,115000,80000,98000,115000,154000,310,430,690,1400,950,1600,1600,2300,Yes,No,Families
Jumeirah,Luxury,110000,190000,110000,190000,190000,330000,300000,600000,788,1481,788,1481,1198,1938,2118,2698,No,Yes,High-net-worth
Arabian Ranches,Luxury,170000,205000,170000,205000,170000,205000,205000,350000,1800,2250,1800,2250,1800,2250,2400,3000,No,No,Expat families
Motor City,Mid-Market,60000,70000,75000,120000,105000,140000,155000,230000,608,710,750,1050,1450,1960,2141,2250,No,No,Families
Dubai Silicon Oasis,Budget,45000,53000,57000,90000,90000,130000,170000,185000,392,540,687,1000,900,1350,2000,2400,No,No,Tech professionals
DIFC,Luxury,78000,120000,115000,220000,150000,320000,220000,350000,414,780,735,1450,1200,2100,1900,3200,Yes,No,Finance professionals
Al Nahda,Budget,37000,54000,45000,68000,63000,95000,80000,120000,280,650,500,950,950,1250,1200,1850,Yes,No,Budget families
