listing_id,neighborhood,property_type,bedrooms,bathrooms,size_sqft,annual_rent,monthly_rent,price_per_sqft,furnished,amenities,has_metro,beach_accessible,floor_number,building_age_years,posted_date,agent_name,agent_company,tier
PF000001,Barsha Heights (Tecom),3BR,3,2,2101,190400,15900,90.62,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Security;Swimming Pool;View (Sea/Marina/Park),Yes,No,38,11,2025-09-14,Allison Hill,Property Finder,Mid-Market
PF000002,Jumeirah Lake Towers (JLT),2BR,2,2,1826,136900,11400,74.97,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Parking;Pets Allowed;Security,Yes,No,4,13,2025-09-17,Noah Rhodes,Bayut,Mid-Market
PF000003,Al Barsha,Studio,0,1,408,51200,4300,125.49,Semi-Furnished,Balcony;Central AC;Parking;Security;Swimming Pool,Yes,No,44,1,2025-09-27,Angie Henderson,Bayut,Mid-Market
PF000004,Dubai Silicon Oasis,2BR,2,2,1158,95200,7900,82.21,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Gym;Maid's Room;Parking;Security,No,No,8,10,2025-09-02,Daniel Wagner,Dubizzle,Budget
PF000005,Bur Dubai,2BR,2,2,1165,79000,6600,67.81,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Gym;Parking;Security;Shared Spa;Swimming Pool,Yes,No,1,4,2025-10-13,Cristian Santos,Bayut,Mid-Market
PF000006,Jumeirah Lake Towers (JLT),1BR,1,1,1160,88000,7300,75.86,Furnished,Built-in Wardrobes;Central AC;Children's Play Area;Gym;Parking;Security,Yes,No,22,1,2025-09-19,Connie Lawrence,Bayut,Mid-Market
PF000007,Motor City,2BR,2,2,1731,112600,9400,65.05,Furnished,Balcony;Built-in Wardrobes;Central AC;Gym;Parking;Pets Allowed;Security,No,No,8,8,2025-11-26,Abigail Shaffer,Driven Properties,Mid-Market
PF000008,Dubai Media City,Studio,0,1,1129,167200,13900,148.1,Unfurnished,Balcony;Central AC;Children's Play Area;Parking;Security;Shared Spa,Yes,No,37,16,2025-11-27,Gina Moore,Property Finder,Premium
PF000009,Jumeirah Lake Towers (JLT),3BR,3,2,2144,183700,15300,85.68,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Gym;Maid's Room;Parking;Security;Study Room,Yes,No,11,5,2025-11-05,Gabrielle Davis,Driven Properties,Mid-Market
PF000010,Discovery Gardens,Studio,0,1,480,46400,3900,96.67,Unfurnished,Central AC;Children's Play Area;Parking;Pets Allowed;Security;Swimming Pool,Yes,No,39,17,2025-10-27,Ryan Munoz,Property Finder,Budget
